iso3,country,legacy_category,selected_k,ward_cluster,median_bootstrap_ari,main_text_stability_gate_pass,robust_scaled__electricity_access_pct,robust_scaled__rural_population_pct,robust_scaled__rural_population_growth_pct,robust_scaled__female_agricultural_employment_pct,robust_scaled__arable_land_hectares_per_person,robust_scaled__fertilizer_consumption_kg_per_hectare_arable_land
ARG,Argentina,category_1,4,1,0.899022938780678,True,0.0322003577817533,-0.76128149326381,-0.421375657035577,-0.392995152501869,4.91122186729691,-0.425822280666171
BGD,Bangladesh,category_3,4,2,0.899022938780678,True,-1.7567084078712,0.763273196238767,0.0698085679578769,0.902926256162763,-0.622251321904564,0.623456422791392
BRA,Brazil,category_1,4,2,0.899022938780678,True,0.0143112701252238,-0.62029872290968,-1.06343810153361,-0.37617110022128,0.769703602987949,0.530746538481795
CHN,China,category_2,4,2,0.899022938780678,True,0.035778175313059,0.0635833187674403,-2.46576926693161,0.067630458089781,-0.407571249327618,1.28011809036397
COD,"Congo, Dem. Rep.",category_3,4,3,0.899022938780678,True,-5.90697674418604,0.471613855286959,1.85941233857053,1.12219655287087,0.0218355640455968,-0.588199670875976
COL,Colombia,unclassified,4,2,0.899022938780678,True,-0.0858676207513408,-0.407327219323403,0.225542519619412,-0.339353417230475,-0.705195788741037,1.81205792114447
DEU,Germany,category_2,4,2,0.899022938780678,True,0.035778175313059,-0.495659061991331,-0.536989834492086,-0.460817985448196,-0.0192118780205337,0.213132871960613
EGY,"Egypt, Arab Rep.",category_3,4,2,0.899022938780678,True,0.0322003577817533,0.445704556666157,1.45265574630453,0.390915350882926,-0.747410394041373,1.63363216913625
ETH,Ethiopia,category_3,4,3,0.899022938780678,True,-4.48300536672629,1.0109112810273,1.47676279142569,0.876699774902948,0.0192118780205337,-0.481796304086785
FRA,France,flexible_1,4,2,0.899022938780678,True,0.035778175313059,-0.431906737082172,-0.0698085679578769,-0.444295897561911,0.818543946360856,0.107381563467285
GBR,United Kingdom,category_2,4,2,0.899022938780678,True,0.035778175313059,-0.524200935872985,-0.462347173737988,-0.467924089750042,-0.345630972145102,0.424982526451659
IDN,Indonesia,unclassified,4,2,0.899022938780678,True,-0.161001788908766,0.176819598938195,-0.491148979470688,0.211540762588998,-0.500832911210041,0.791228624293045
IND,India,category_3,4,2,0.899022938780678,True,-0.765652951699463,0.689334560768481,0.31927902697043,0.84995278206373,-0.188890981551662,0.12664235509351
IRN,"Iran, Islamic Rep.",flexible_2,4,2,0.899022938780678,True,0.035778175313059,-0.319407945673215,-0.73062457204632,-0.0944780611635452,0.208469494089866,-0.356385956848211
ITA,Italy,category_2,4,2,0.899022938780678,True,0.035778175313059,-0.217705711972055,-0.480079232665677,-0.426049833081962,-0.216159672770791,-0.0573788994341376
KEN,Kenya,unclassified,4,3,0.899022938780678,True,-3.73166368515205,0.714340314328006,1.59724847792296,0.878662766614757,-0.0804932409042253,-0.414166078765273
KOR,"Korea, Rep.",category_2,4,2,0.899022938780678,True,0.035778175313059,-0.516163352993312,0.405874773995067,-0.366112338396029,-0.751125447708404,0.840731942166062
MEX,Mexico,flexible_2,4,2,0.899022938780678,True,-0.0143112701252228,-0.410577443830514,-0.254543597862249,-0.379329695366485,0.209647658888827,-0.204740253706615
MMR,Myanmar,flexible_2,4,3,0.899022938780678,True,-2.93381037567084,0.761859175843532,0.247177067757048,0.646051950053378,0.420294507108486,-0.503729496735378
MYS,Malaysia,unclassified,4,4,0.899022938780678,True,0.0286225402504476,-0.320171492565105,-0.278536892200618,-0.320195804547903,-0.763992897017802,7.68214655641912
NGA,Nigeria,category_3,4,3,0.899022938780678,True,-3.1556350626118,0.111615595930262,0.284351365481273,0.236864055064388,0.25446784089597,-0.549302705708729
PAK,Pakistan,category_3,4,2,0.899022938780678,True,-0.579606440071556,0.60736282987867,0.665001630530955,1.19565404901013,-0.0414364828810331,-0.00690389052457348
PHL,Philippines,unclassified,4,2,0.899022938780678,True,-0.615384615384615,0.225124991637603,-0.389527448566558,-0.067630458089781,-0.596036586637879,0.0834761521458233
RUS,Russian Federation,flexible_1,4,1,0.899022938780678,True,0.0322003577817533,-0.33679678782579,-0.435167131050799,-0.364036639597939,4.39211092967224,-0.521446072202774
THA,Thailand,flexible_2,4,2,0.899022938780678,True,0.0178890876565295,0.326638197112724,-1.20920344437427,0.201473924127652,0.58256719714376,0.00690389052457348
TUR,Turkiye,flexible_2,4,2,0.899022938780678,True,0.035778175313059,-0.66476050782616,-3.16869836448813,0.13474517528407,0.719501494422471,-0.133209569295172
TZA,Tanzania,flexible_2,4,3,0.899022938780678,True,-5.0339892665474,0.719520263923284,1.52237020746499,1.0872813835547,0.587857976068458,-0.554169050227973
USA,United States,category_1,4,2,0.899022938780678,True,0.035778175313059,-0.489941683711059,0.563846784756638,-0.459732374975901,2.14008915973769,-0.0536771890126565
VNM,Viet Nam,flexible_2,4,2,0.899022938780678,True,-0.0178890876565295,0.691598819836994,0.136637986250248,0.547683963519132,-0.474810884044205,1.20317479217089
ZAF,South Africa,flexible_2,4,2,0.899022938780678,True,-1.0304114490161,-0.0635833187674405,0.875033177152462,-0.395472784238292,0.403076841000713,-0.316388553606696
